,Unnamed: 0,src,trg,nij,score
0,0,4,13,1,0.6629213483146068
1,4,5,13,1,0.3454545454545454
2,33,12,13,1,0.4230769230769231
3,1,4,12,1,0.1935483870967742
4,5,5,12,2,0.10447761194029853
5,12,6,12,1,-0.09756097560975613
6,18,7,12,1,0.02777777777777779
7,23,8,12,1,0.02777777777777779
8,27,9,12,1,0.02777777777777779
9,30,10,12,1,0.02777777777777779
10,32,11,12,1,0.02777777777777779
11,67,13,12,1,0.4230769230769231
12,2,4,6,1,0.2436974789915966
13,11,5,6,2,0.15625000000000006
14,51,7,6,1,0.08029197080291972
15,50,8,6,1,0.08029197080291972
16,49,9,6,1,0.08029197080291972
17,48,10,6,1,0.08029197080291972
18,47,11,6,1,0.08029197080291972
19,46,12,6,1,-0.09756097560975613
20,3,4,5,2,0.4230769230769231
21,45,6,5,2,0.15625000000000006
22,44,7,5,1,-0.06329113924050635
23,43,8,5,1,-0.06329113924050635
24,42,9,5,1,-0.06329113924050635
25,41,10,5,1,-0.06329113924050635
26,40,11,5,1,-0.06329113924050635
27,39,12,5,2,0.10447761194029853
28,38,13,5,1,0.3454545454545454
29,6,5,11,1,-0.06329113924050635
30,13,6,11,1,0.08029197080291972
31,19,7,11,1,0.2032520325203252
32,24,8,11,1,0.2032520325203252
33,28,9,11,1,0.2032520325203252
34,31,10,11,1,0.2032520325203252
35,66,12,11,1,0.02777777777777779
36,7,5,10,1,-0.06329113924050635
37,14,6,10,1,0.08029197080291972
38,20,7,10,1,0.2032520325203252
39,25,8,10,1,0.2032520325203252
40,29,9,10,1,0.2032520325203252
41,65,11,10,1,0.2032520325203252
42,64,12,10,1,0.02777777777777779
43,8,5,9,1,-0.06329113924050635
44,15,6,9,1,0.08029197080291972
45,21,7,9,1,0.2032520325203252
46,26,8,9,1,0.2032520325203252
47,63,10,9,1,0.2032520325203252
48,62,11,9,1,0.2032520325203252
49,61,12,9,1,0.02777777777777779
50,9,5,8,1,-0.06329113924050635
51,16,6,8,1,0.08029197080291972
52,22,7,8,1,0.2032520325203252
53,60,9,8,1,0.2032520325203252
54,59,10,8,1,0.2032520325203252
55,58,11,8,1,0.2032520325203252
56,57,12,8,1,0.02777777777777779
57,10,5,7,1,-0.06329113924050635
58,17,6,7,1,0.08029197080291972
59,56,8,7,1,0.2032520325203252
60,55,9,7,1,0.2032520325203252
61,54,10,7,1,0.2032520325203252
62,53,11,7,1,0.2032520325203252
63,52,12,7,1,0.02777777777777779
64,37,5,4,2,0.4230769230769231
65,36,6,4,1,0.2436974789915966
66,35,12,4,1,0.1935483870967742
67,34,13,4,1,0.6629213483146068
